/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
8 of 100000, maximal objective function=14.1719, time remaining: 06:48:02
16 of 100000, maximal objective function=14.1719, time remaining: 07:11:15
24 of 100000, maximal objective function=14.1719, time remaining: 07:17:26
32 of 100000, maximal objective function=14.1719, time remaining: 07:21:33
40 of 100000, maximal objective function=14.1719, time remaining: 07:23:51
48 of 100000, maximal objective function=14.1719, time remaining: 07:25:04
56 of 100000, maximal objective function=14.1719, time remaining: 07:26:07
64 of 100000, maximal objective function=14.1719, time remaining: 07:26:45
72 of 100000, maximal objective function=14.1719, time remaining: 07:27:19
80 of 100000, maximal objective function=14.1719, time remaining: 07:27:37
88 of 100000, maximal objective function=14.1719, time remaining: 07:28:10
96 of 100000, maximal objective function=14.1719, time remaining: 07:28:35
104 of 100000, maximal objective function=14.1719, time remaining: 07:28:44
112 of 100000, maximal objective function=14.1719, time remaining: 07:29:16
120 of 100000, maximal objective function=14.1719, time remaining: 07:29:52
128 of 100000, maximal objective function=14.1719, time remaining: 07:30:36
136 of 100000, maximal objective function=14.1719, time remaining: 07:30:34
144 of 100000, maximal objective function=14.1719, time remaining: 07:30:41
152 of 100000, maximal objective function=14.1719, time remaining: 07:30:51
160 of 100000, maximal objective function=14.1719, time remaining: 07:31:00
168 of 100000, maximal objective function=14.1719, time remaining: 07:31:08
176 of 100000, maximal objective function=14.1719, time remaining: 07:31:12
184 of 100000, maximal objective function=14.1719, time remaining: 07:31:15
192 of 100000, maximal objective function=14.1719, time remaining: 07:31:40
200 of 100000, maximal objective function=14.1719, time remaining: 07:32:11
208 of 100000, maximal objective function=14.1719, time remaining: 07:32:17
216 of 100000, maximal objective function=14.1719, time remaining: 07:32:18
224 of 100000, maximal objective function=14.1719, time remaining: 07:32:17
232 of 100000, maximal objective function=14.1719, time remaining: 07:32:22
240 of 100000, maximal objective function=14.1719, time remaining: 07:32:40
248 of 100000, maximal objective function=14.1719, time remaining: 07:32:52
256 of 100000, maximal objective function=14.1719, time remaining: 07:32:56
264 of 100000, maximal objective function=14.1719, time remaining: 07:33:05
272 of 100000, maximal objective function=14.1719, time remaining: 07:33:09
280 of 100000, maximal objective function=14.1719, time remaining: 07:33:05
288 of 100000, maximal objective function=14.1719, time remaining: 07:33:00
296 of 100000, maximal objective function=14.1719, time remaining: 07:32:49
304 of 100000, maximal objective function=14.1719, time remaining: 07:32:41
312 of 100000, maximal objective function=14.1719, time remaining: 07:32:31
320 of 100000, maximal objective function=14.1719, time remaining: 07:32:24
328 of 100000, maximal objective function=14.1719, time remaining: 07:32:17
336 of 100000, maximal objective function=14.1719, time remaining: 07:32:08
344 of 100000, maximal objective function=14.1719, time remaining: 07:32:02
352 of 100000, maximal objective function=14.1719, time remaining: 07:32:03
360 of 100000, maximal objective function=14.1719, time remaining: 07:31:59
368 of 100000, maximal objective function=14.1719, time remaining: 07:31:57
376 of 100000, maximal objective function=14.1719, time remaining: 07:31:49
384 of 100000, maximal objective function=14.1719, time remaining: 07:31:54
392 of 100000, maximal objective function=14.1719, time remaining: 07:32:05
400 of 100000, maximal objective function=14.1719, time remaining: 07:31:55
408 of 100000, maximal objective function=14.1719, time remaining: 07:31:50
416 of 100000, maximal objective function=14.1719, time remaining: 07:31:43
424 of 100000, maximal objective function=14.1719, time remaining: 07:31:35
432 of 100000, maximal objective function=14.1719, time remaining: 07:31:29
440 of 100000, maximal objective function=14.1719, time remaining: 07:31:27
448 of 100000, maximal objective function=14.1719, time remaining: 07:31:30
456 of 100000, maximal objective function=14.1719, time remaining: 07:31:31
464 of 100000, maximal objective function=14.1719, time remaining: 07:31:36
472 of 100000, maximal objective function=14.1719, time remaining: 07:31:34
480 of 100000, maximal objective function=14.1719, time remaining: 07:31:32
488 of 100000, maximal objective function=14.1719, time remaining: 07:31:27
496 of 100000, maximal objective function=14.1719, time remaining: 07:31:24
504 of 100000, maximal objective function=14.1719, time remaining: 07:31:26
512 of 100000, maximal objective function=14.2581, time remaining: 07:31:25
520 of 100000, maximal objective function=16.3195, time remaining: 07:31:22
